Image Name,Transcript
000000_433.8.jpg,so our next topic is boosting and
000001_500.5.jpg,
000002_533.9.jpg,
000003_600.6.jpg,
000004_634.0.jpg,
000005_667.3.jpg,
000006_700.7.jpg,
000007_734.1.jpg,
000008_767.4.jpg,
000009_5338.7.jpg,boosting is is a relatively new method as well and similar to bagging and
000010_6139.5.jpg,
000011_6172.8.jpg,
000012_6206.2.jpg,
000013_6239.6.jpg,
000014_6272.9.jpg,
000015_6306.3.jpg,
000016_6373.0.jpg,
000017_6406.4.jpg,
000018_6439.8.jpg,
000019_6473.1.jpg,
000020_6539.9.jpg,
000021_6606.6.jpg,
000022_6640.0.jpg,
000023_6773.4.jpg,
000024_6806.8.jpg,
000025_6840.2.jpg,
000026_10677.3.jpg,random forests that bulls gives prediction models that are averages of
000027_16016.0.jpg,over trees but there's a fundamental difference random forests and bagging
000028_21354.7.jpg,the trees that are averaged are all equivalent and the averaging is is just
000029_26693.3.jpg,used to reduce variance with boostin it's a sequential method and each of the
000030_32032.0.jpg,trees that's that's added into the mixed is added to improve on the performance
000031_35168.5.jpg,of the of the previous collection of trees so that's a fundamental difference
000032_35235.2.jpg,
000033_35268.6.jpg,
000034_35301.9.jpg,
000035_35335.3.jpg,
000036_35402.0.jpg,
000037_35435.4.jpg,
000038_35502.1.jpg,
000039_35535.5.jpg,
000040_35602.2.jpg,
000041_35702.3.jpg,
000042_35735.7.jpg,
000043_37370.7.jpg,
000044_38171.5.jpg,
