Image Name,Transcript
000000_1201.2.jpg,okay yeah we are back again we've learnt
000001_5338.7.jpg,about trees and how to use trees in our
000002_10677.3.jpg,and now we're going to see how to use trees in in context of random forests
000003_16016.0.jpg,and boosting and we'll see this gives us pretty powerful predictors so there's
000004_21354.7.jpg,two packages random forests and boost
000005_26693.3.jpg,and GBM which does boost in we'll start off with random forests so as we know
000006_32032.0.jpg,random forests will actually build lots
000007_37370.7.jpg,of trees and then average them and
000008_42709.3.jpg,reduce the variance of bushy trees by averaging so we load the random forest
000009_48048.0.jpg,package and we're going to use a Boston housing data again and that's in the
000010_53386.7.jpg,mass package so we'll get that up we will set a random seed and let's have a
000011_58725.3.jpg,look we see we got five hundred and six observations in in the Boston housing
000012_64064.0.jpg,data and we're going to make a training set of size 300 so we'll use the same
000013_69402.7.jpg,construct as we used before and we've got there we've got indexes for training
000014_74741.3.jpg,let's just look at the Boston housing data so we can we can query we can run a
000015_80080.0.jpg,help query on that and we see it's a it's a 506 suburbs of Boston and for
000016_85418.7.jpg,each suburb we've got demographics and
000017_90757.3.jpg,things like crime per capita types of Industry average number of rooms per
000018_96096.0.jpg,dwelling average proportion and the age
000019_101434.7.jpg,of the houses and various things and what we're going to use as a response is
000020_106773.3.jpg,the median value of owner-occupied homes for each of these counties for each of
000021_112112.0.jpg,these suburbs okay so it's a it's a datasets been around it was based on the
000022_117450.7.jpg,1970 census in in Boston okay so so we
000023_122789.3.jpg,all start off with a random forest and
000024_128128.0.jpg,it's same kind of strong construct as before the responses made V median value
000025_133466.7.jpg,and to be modeled as dot which means as a
000026_138805.3.jpg,function of all the other variables and we want to use the Train subset and very fast random forests and we can just
000027_144144.0.jpg,print out the random forest gives us a summary and it tells us a number of
000028_149482.7.jpg,trees so that was 500 trees were growing
000029_154821.3.jpg,and they bushy trees each of them says you can see that was pretty fast and it
000030_160160.0.jpg,gives you a summary of the fit it gives you a means mean squared residual and the percentage variance he explained and
000031_165498.7.jpg,when we studied random forests in the notes we talked about the out of bag
000032_170837.3.jpg,error so these are out of bag mean squared residuals so each each
000033_176176.0.jpg,observation was predicted using the the average of trees that didn't include it
000034_181514.7.jpg,so these are sort of the biased estimates of of prediction error so one
000035_186853.3.jpg,of the tuning the pretty much only
000036_192192.0.jpg,tuning parameter in a random forest is the variable called M try the the
000037_197530.7.jpg,argument called M try which is the number of variables that are selected at each split of each tree when you when
000038_202869.3.jpg,you come to make a split so if M try for
000039_208208.0.jpg,example is four of the thirteen variables in the in the Boston housing data for selected at random each time
000040_213546.7.jpg,you come to split a node four would be
000041_218885.3.jpg,selected at random and then the split would be confined to one of those four variables and so that's how random
000042_224224.0.jpg,forests D correlates the trees so what we going to do is we're going to fit a
000043_229562.7.jpg,series of random forests the 13 variables so we're going to have M try range through the values 1 to 13 and and
000044_234901.3.jpg,then we're going to record the errors and so we set up two variables to do the
000045_240240.0.jpg,recording of the errors and then we go in a loop for M try in 1 to 13 we're
000046_245578.7.jpg,going to fit the random forest with that value of M try and yeah we all just
000047_250917.3.jpg,restrict the number of trees to be 400 for no good reason except that 400 is
000048_256256.0.jpg,sufficient here and we give em try as an argument and of course it's fit on the
000049_261594.7.jpg,training data and we can straight away plug in to extract the mean squared
000050_266933.3.jpg,error because that's out of bag error that's on the on the object so we do that
000051_272272.0.jpg,and then we predict on the test data so there's Boston - train and past as the
000052_277610.7.jpg,data in the argument to predict and fit be in the fit of the random forest and
000053_282949.3.jpg,and then we compute the test error so
000054_288288.0.jpg,there's our with construction again Boston - train and we compute the mean squared error so it's mean of made V -
000055_293626.7.jpg,spread squared made V will be picked off
000056_298965.3.jpg,the data frame Boston - train so these commands we've still in the loop so it's
